PORT_NAME;VID;Latitude;Longitude;geometry
Falmouth Harbour;PID309;50.095341419;-5.018040559946362;POINT (50.095341419 -5.018040559946362)
Port Kembla Port Limit;PID310;-34.462330006062984;150.92687361873686;POINT (-34.46233000606298 150.9268736187369)
FINNART OIL TERMINAL;PID311;56.10404721926898;-4.8506463320152005;POINT (56.10404721926898 -4.8506463320152)
GLENSANDA;PID312;56.56661692075431;-5.526947386097163;POINT (56.56661692075431 -5.526947386097163)
;PID313;-20.1366200155;118.5116619284512;POINT (-20.1366200155 118.5116619284512)
Dublin Port Company;PID314;53.330007288;-6.138609205129036;POINT (53.330007288 -6.138609205129036)
ADEN;PID315;12.7640491115;44.96022262590677;POINT (12.7640491115 44.96022262590677)
Belledune;PID316;47.91239175014198;-65.83177121483398;POINT (47.91239175014198 -65.83177121483398)
Vancouver;PID317;49.1586226685;-123.2597273115;POINT (49.1586226685 -123.2597273115)
;PID318;-20.1215855635;118.578331356;POINT (-20.1215855635 118.578331356)
SEPT ILES;PID319;50.19237632397562;-66.3882470363751;POINT (50.19237632397562 -66.38824703637511)
;PID320;-20.1216159055;118.56498858969034;POINT (-20.1216159055 118.5649885896903)
Penglai Gang;PID321;37.79875796288252;120.63333334866913;POINT (37.79875796288252 120.6333333486691)
Dalian Gang;PID322;38.96239100955427;121.7399420783186;POINT (38.96239100955427 121.7399420783186)
Inner Harbour;PID323;43.64086396526545;-79.36380124233364;POINT (43.64086396526545 -79.36380124233364)
QINGDAO GANG;PID324;36.1114580135;120.22133924391858;POINT (36.1114580135 120.2213392439186)
Basuogang Xingang;PID325;19.05543497297913;108.6235418382564;POINT (19.05543497297913 108.6235418382564)
;PID326;-20.1533152575;118.52166094796306;POINT (-20.1533152575 118.5216609479631)
Port de Montréal;PID327;46.00448258221149;-73.17799230519977;POINT (46.00448258221149 -73.17799230519977)
Port de Québec;PID328;46.877303235;-70.94337077234304;POINT (46.877303235 -70.94337077234304)
TIANJIN XIN GANG;PID329;38.9173794765;118.03203396429149;POINT (38.9173794765 118.0320339642915)
Unknown;PID330;25.15945881139487;121.3562343558368;POINT (25.15945881139487 121.3562343558368)
;PID331;-20.136617333;118.53833011449876;POINT (-20.136617333 118.5383301144988)
PORT ADELAIDE;PID332;-34.802290024235845;138.42559769488577;POINT (-34.80229002423584 138.4255976948858)
;PID333;-20.108251506;118.56499294;POINT (-20.108251506 118.56499294)
Port of Brisbane;PID334;-27.0444596093148;153.26802961287123;POINT (-27.0444596093148 153.2680296128712)
;PID335;-20.1217498065;118.618494586;POINT (-20.1217498065 118.618494586)
Elbehafen Brunsbüttel;PID336;53.876108312978126;9.17058414530461;POINT (53.87610831297813 9.170584145304611)
Obereiderhafen;PID337;54.309516325593;9.679728105232556;POINT (54.309516325593 9.679728105232556)
;PID338;-20.1150106725;118.52499671072552;POINT (-20.1150106725 118.5249967107255)
CUXHAVEN;PID339;53.86151085142046;8.71777727324008;POINT (53.86151085142046 8.717777273240079)
Unknown;PID340;44.39072188921273;8.759514428202541;POINT (44.39072188921273 8.759514428202541)
