OID;Longitude;Latitude;Grid_id;GRIDTYPE;GRIDTYPECODE;TOT_CO2_STORES;LANDFALL;ONSHORE_GRIDS;IMPORT_LOCATIONS;EMISSION_FACTOR;LOCATION_FACTOR;AVAILABILITY;HARBOUR
TRID76;-0.220375983;53.62342361;115;TRUNKLINE;40;0.0;0;1;1;0;1;1;0
TRID77;-0.190553623;53.65189041;116;TRUNKLINE;40;0.0;0;1;1;0;1;1;0
TRID78;-0.183775814;53.69797951;117;TRUNKLINE;40;0.0;0;1;1;0;1;1;0
TRID79;-0.118708846;53.66002378;118;TRUNKLINE;40;0.0;0;1;1;0;1;1;0
TRID80;-0.044152945;53.64240148;119;TRUNKLINE;40;0.0;0;1;1;0;1;1;0
TRID81;0.039891888;53.65053485;120;TRUNKLINE;40;0.0;0;1;1;0;1;1;0
TRID82;0.098181047;53.64782372;121;TRUNKLINE;40;0.0;0;1;1;0;1;1;0
TRID83;0.119870036;53.65053485;122;TRUNKLINE;40;0.0;0;1;1;0;1;1;0
TRID1;-3.790060726;56.09905325;123;TRUNKLINE;40;0.0;0;1;1;0;1;1;0
TRID51;-1.815498986;57.58765767;124;TERMINAL;30;0.0;1;1;1;0;1;1;0
