Column1;PORT_NAME;VID;coords
1915;Halifax Harbour;PID297;((-63.559111513094095, 44.647063496522605),)
1916;ST JOHN'S;PID298;((-52.70217804899115, 47.56277360022068),)
18299;;PID299;((118.53832962425, -20.151590388),)
1917;Fremantle Port Limit;PID300;((115.69856767838004, -32.07313799296262),)
1918;ESPERANCE;PID301;((121.9159050779227, -33.86789683252573),)
18302;;PID302;((118.57166692184498, -20.066643026500003),)
1920;Port of Geelong;PID303;((144.3941245576731, -38.10173681471497),)
1921;Port of Melbourne;PID304;((144.82712983817913, -38.071089684963226),)
1919;WESTERN PORT;PID305;((145.23108564550057, -38.353505758568645),)
1923;Port of Kimbe;PID306;((150.15259003965184, -5.5423847353085876),)
1924;MELAKA HARBOUR LIMIT;PID307;((102.23910968082919, 2.1590065955),)
1925;PELABUHAN SUNGAI UDANG;PID308;((102.10673186833205, 2.2304300489999997),)
1926;Falmouth Harbour;PID309;((-5.018040559946362, 50.095341419),)
1922;Port Kembla Port Limit;PID310;((150.92687361873686, -34.462330006062984),)
1930;FINNART OIL TERMINAL;PID311;((-4.8506463320152005, 56.10404721926898),)
1931;GLENSANDA;PID312;((-5.526947386097163, 56.56661692075431),)
18315;;PID313;((118.5116619284512, -20.1366200155),)
1932;Dublin Port Company;PID314;((-6.138609205129036, 53.330007288000004),)
1933;ADEN;PID315;((44.96022262590677, 12.7640491115),)
1935;Belledune;PID316;((-65.83177121483398, 47.91239175014198),)
1934;Vancouver;PID317;((-123.2597273115, 49.1586226685),)
18317;;PID318;((118.578331356, -20.1215855635),)
1936;SEPT ILES;PID319;((-66.3882470363751, 50.19237632397562),)
18319;;PID320;((118.56498858969034, -20.1216159055),)
1938;Penglai Gang;PID321;((120.63333334866911, 37.79875796288252),)
1939;Dalian Gang;PID322;((121.73994207831859, 38.96239100955427),)
1942;Inner Harbour;PID323;((-79.36380124233364, 43.64086396526545),)
1940;QINGDAO GANG;PID324;((120.22133924391858, 36.1114580135),)
1941;Basuogang Xingang;PID325;((108.62354183825641, 19.05543497297913),)
18322;;PID326;((118.52166094796306, -20.153315257499997),)
1943;Port de Montréal;PID327;((-73.17799230519977, 46.004482582211494),)
1944;Port de Québec;PID328;((-70.94337077234304, 46.877303235),)
1945;TIANJIN XIN GANG;PID329;((118.03203396429149, 38.9173794765),)
1946;Unknown;PID330;((121.35623435583679, 25.15945881139487),)
18327;;PID331;((118.53833011449876, -20.136617333),)
1948;PORT ADELAIDE;PID332;((138.42559769488577, -34.802290024235845),)
18328;;PID333;((118.56499294, -20.108251506000002),)
1949;Port of Brisbane;PID334;((153.26802961287123, -27.0444596093148),)
18329;;PID335;((118.618494586, -20.1217498065),)
1952;Elbehafen Brunsbüttel;PID336;((9.17058414530461, 53.876108312978126),)
1955;Obereiderhafen;PID337;((9.679728105232556, 54.309516325592995),)
18340;;PID338;((118.52499671072553, -20.1150106725),)
1957;CUXHAVEN;PID339;((8.71777727324008, 53.86151085142046),)
1958;Unknown;PID340;((8.759514428202541, 44.39072188921273),)
1959;Harbour Limit;PID341;((13.69132217, 45.6286706645),)
1960;BURNTISLAND;PID342;((-2.8599627924626247, 56.131458598500004),)
1956;Ports of Kiel;PID343;((10.16440423438574, 54.33732618112117),)
18341;;PID344;((118.59168073949877, -20.121610793000002),)
1963;TRINCOMALEE HARBOR;PID345;((81.21447891774146, 8.556931517086923),)
1964;BANDAR-E MAHSHAHR;PID346;((49.17337992674012, 30.45685237739235),)
1965;TEESPORT;PID347;((-1.1055941158402398, 54.63390272576362),)
1966;Humber Port;PID348;((0.4198356638844027, 53.6093665655),)
1967;Port of Mackay;PID349;((149.24764055227706, -21.113455309532583),)
18349;;PID350;((118.52499261225, -20.1017405275),)
1969;Paldiski Lõunasadam;PID351;((24.037083357106894, 59.33333341497928),)
1968;MUUGA-PORT OF TALLIN;PID352;((25.11254546552135, 59.510000003),)
18348;;PID353;((118.5116592175652, -20.121614397000002),)
1972;Outer Roadsted of the Port of Ventspils;PID354;((21.527026013235936, 57.44287599809468),)
1973;JOHOR;PID355;((104.08482446459018, 1.4279557760000001),)
1975;TANJUNG PELEPAS;PID356;((104.02746488291731, 1.3052066595),)
1971;Vene-Balti;PID357;((24.62389863012151, 59.45632954593748),)
1970;Paldiski Põhjasadam;PID358;((24.037083357106894, 59.33333341497928),)
1978;Hibiki-Shinko Ku;PID359;((130.75632023039026, 33.97429591510445),)
1979;KANDA;PID360;((131.02155434887572, 33.792734923772514),)
1982;Moji Ku;PID361;((130.93947815172132, 33.929306636564434),)
1985;Tanoura Ku;PID362;((130.9852135070669, 33.965846076607704),)
1986;MUTUREZIMA KO;PID363;((130.85770583200824, 33.9453967474401),)
1987;TOBATA;PID364;((130.84561628724725, 33.94580631631767),)
1989;Port Vanino;PID365;((140.33407272973307, 49.092393605969846),)
1990;Vladivostok;PID366;((131.87557373825, 43.130612046500005),)
1991;Unknown;PID367;((-89.16152441372145, 48.40496275573969),)
1992;Nanticoke Harbour;PID368;((-80.06612578624113, 42.7753885416314),)
1993;SAINT JOHN;PID369;((-66.02810800090928, 45.181805952000005),)
1994;Baie-Comeau;PID370;((-68.10931526225028, 49.236910063773394),)
1995;BAYUQUAN;PID371;((121.98775640145823, 40.288874501500004),)
1996;Longkou Gang;PID372;((120.21765942290322, 37.6238884955),)
1997;Rizhao Gang;PID373;((119.57144443764838, 35.104236979968846),)
1999;Ningbo-Zhoushan Gang(Ningbo);PID374;((121.97987480807171, 29.940946488),)
2000;Ningbo-Zhoushan Gang(Zhoushan);PID375;((122.07598567052965, 29.8979284655),)
2001;Guangzhou Gang;PID376;((113.47443732283975, 23.07199150789529),)
2002;Humen Gang;PID377;((113.56153551489115, 22.876246995292604),)
2003;Shenzhen Gang;PID378;((113.76586937550303, 22.659005499000003),)
18388;E8;PID379;((151.5933329955, -23.8832600315),)
2005;Shanghai Gang;PID380;((122.04640073442107, 31.216186503499998),)
2006;ARHUS;PID381;((10.2698580132144, 56.151112988591194),)
2007;BAHIA SAN VICENTE;PID382;((-73.16059437787149, -36.743490770459175),)
2008;TALCAHUANO;PID383;((-73.09559690513441, -36.71177779790014),)
2009;PUERTO SAN ANTONIO;PID384;((-71.63160966010764, -33.584803878329694),)
18393;E4;PID385;((151.57500003425, -23.8665944195),)
2011;BAHIA QUINTERO (VENTANAS);PID386;((-71.50608815425838, -32.75100869592279),)
2012;ANTOFAGASTA;PID387;((-70.41560011790378, -23.631164613179862),)
2013;Unknown;PID388;((34.64041961124167, 31.848369212821126),)
18397;E3;PID389;((151.61166700475, -23.849913887),)
18399;E7;PID390;((151.57499999225, -23.883261666),)
18401;E10;PID391;((151.57499999225, -23.8999271525),)
2017;MURORAN KO;PID392;((140.9305463396061, 42.3490563640371),)
2019;TOMAKOMAI KO;PID393;((141.65103211892267, 42.601258526),)
2020;Arida Ku;PID394;((135.1089703340217, 34.12308789789677),)
18404;E12;PID395;((151.61166700475002, -23.8999286615),)
2022;Shimotsu Ku;PID396;((135.12065561941122, 34.14875952992588),)
2023;Unknown;PID397;((133.74901395794217, 34.47983552701771),)
2024;SAKAIDE KO;PID398;((133.85375949465418, 34.33644207660109),)
2025;Unknown;PID399;((133.8819133340375, 34.360671350732446),)
2026;Tokuyama-Kudamatsu Ko;PID400;((131.71920401523795, 34.027194483205676),)
2027;Unknown;PID401;((131.7564070998261, 33.988300608471036),)
2028;UBE KO;PID402;((131.21980203123886, 33.92270555254072),)
18412;E5;PID403;((151.59333299575002, -23.866594252),)
18409;E9;PID404;((151.61166700500002, -23.883260409000002),)
2032;Unknown;PID405;((121.7555673708987, 25.146345365792513),)
2033;KAO-HSIUNG;PID406;((120.23531212495234, 22.550699156709015),)
2034;Busan Hang;PID407;((129.06476327935832, 35.040813586),)
18419;E2;PID408;((151.59333299550002, -23.849849933),)
18417;E6;PID409;((151.611667005, -23.8665942935),)
